Station,Magnitude,Rjb,Rup,vs30,Max. Aceleration (g),Max. Velocity (cm/sec),Max. Displacement (cm),Vmax / Amax: (sec),Acceleration RMS: (g),Velocity RMS: (cm/sec),Displacement RMS: (cm),Arias Intensity: (m/sec),Characteristic Intensity (Ic),Specific Energy Density (cm2/sec),Cumulative Absolute Velocity (cm/sec),Acceleration Spectrum Intensity (g*sec),Velocity Spectrum Intensity (cm),Housner Intensity (cm),Sustained Maximum Acceleration (g),Sustained Maximum Velocity (cm/sec),Effective Design Acceleration (g),A95 parameter (g),Max Incremental Velocity (cm/sec),Damage Index((g)^c),IP Index,"Sa,avg (g)",Standarized CAV (g*sec),Period (sec),Amplitude (cm/sec),Pulse Indicator (r)
RSN1482_CHICHI_TCU039-E,7.62,19.89,19.89,540.66,0.19733,55.27938,62.65415,0.28556,0.02613,14.16519,17.31523,0.94716,0.04008,18057.73492,1253.30935,0.13053,126.99157,141.45866,0.14035,54.59734,0.19814,0.12215,70.16406,0.53289,23.18474,0.2919,0.91983,3.46,53.03644,0.39901 [non pulse-like]
RSN1482_CHICHI_TCU039-N,7.62,19.89,19.89,540.66,0.13867,56.57911,51.39953,0.41593,0.02457,9.58062,9.2165,0.83715,0.03653,8260.48581,1113.79826,0.13016,112.55122,114.79629,0.1362,44.75382,0.13816,0.10123,86.60843,0.71424,20.21487,0.2497,0.77199,3.98,43.92422,0.70266 [pulse-like]
RSN1483_CHICHI_TCU040-E,7.62,22.06,22.06,362.03,0.16203,56.80808,44.05393,0.3574,0.02165,9.22924,12.069,0.64981,0.03021,7665.67761,1012.94854,0.13742,79.25678,82.85706,0.11871,40.16142,0.16198,0.09624,47.33923,0.5406,18.34936,0.19258,0.64239,3.98,37.35189,0.70257 [pulse-like]
RSN1483_CHICHI_TCU040-N,7.62,22.06,22.06,362.03,0.12465,47.32421,55.39932,0.38701,0.01942,9.58435,11.06545,0.52315,0.02568,8266.92437,975.69564,0.09858,67.93172,72.38651,0.09655,39.64126,0.12307,0.07853,38.36005,0.33267,21.24997,0.16446,0.59941,3.72,37.16314,0.51797 [non pulse-like]
RSN1485_CHICHI_TCU045-E,7.62,26,26,704.64,0.47308,50.08359,39.30156,0.10792,0.03172,6.56764,9.00248,1.39559,0.0536,3881.83456,993.35226,0.43468,116.54269,107.61254,0.37158,36.15146,0.46,0.35623,60.43806,1.8694,20.50015,0.26055,0.72554,0.66,47.96393,0.31426 [non pulse-like]
RSN1485_CHICHI_TCU045-N,7.62,26,26,704.64,0.50682,46.37651,14.60345,0.09328,0.02913,3.89718,3.45128,1.17693,0.04717,1366.8446,904.26304,0.33337,148.66784,124.32719,0.22752,20.20591,0.46731,0.36948,65.78862,1.64713,20.20227,0.31166,0.62655,2.22,17.31441,0.32835 [non pulse-like]
RSN1486_CHICHI_TCU046-E,7.62,16.74,16.74,465.55,0.14228,29.03674,40.18428,0.20803,0.01816,7.05501,9.99491,0.43215,0.02257,4230.47146,735.07678,0.13483,60.21268,62.70295,0.12046,27.51016,0.14199,0.09547,33.54095,0.57242,26.37165,0.152,0.44056,3.98,24.21276,0.51361 [non pulse-like]
RSN1486_CHICHI_TCU046-N,7.62,16.74,16.74,465.55,0.11905,26.27509,23.38458,0.22499,0.01634,4.65108,4.29244,0.34967,0.01926,1838.65598,661.8882,0.11604,53.46922,56.74143,0.0984,22.21904,0.11876,0.08107,37.03883,0.4674,26.34714,0.13519,0.38909,3.98,25.81636,0.79773 [pulse-like]
RSN1487_CHICHI_TCU047-E,7.62,35,35,520.37,0.29783,41.98206,39.70609,0.14369,0.03237,7.52335,9.52844,1.45302,0.05525,5093.78629,1203.27042,0.23382,160.7155,140.60582,0.27614,35.59959,0.29451,0.21891,55.44792,1.64906,29.35114,0.31055,0.88487,1.12,34.79123,0.33922 [non pulse-like]
RSN1487_CHICHI_TCU047-N,7.62,35,35,520.37,0.40779,34.38642,25.29771,0.08596,0.03563,4.67555,5.23471,1.76016,0.06379,1967.3635,1280.29651,0.35741,129.52976,114.20638,0.36224,26.82312,0.40252,0.27444,61.25585,3.02117,38.05161,0.28988,0.96986,2.02,20.69866,0.27574 [non pulse-like]
